Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Miami Dolphins,16,430,6324,1011,6.3,37,14,351,392,645,4779,46,23,7.2,250,349,1545,9,4.4,84,72,609,17,,
2,New England Patriots,16,412,5327,1073,5.0,24,11,314,340,557,3954,29,13,6.5,202,469,1373,10,2.9,77,87,672,35,,
3,Cincinnati Bengals,16,409,6490,1046,6.2,36,16,348,287,497,3957,25,20,7.5,183,521,2533,24,4.9,134,111,847,31,,
4,Minnesota Vikings,16,398,5651,1024,5.5,29,14,321,290,519,3913,31,15,7.0,186,461,1738,14,3.8,114,96,890,21,,
5,Cleveland Browns,16,391,5394,1047,5.2,24,13,302,315,538,3744,18,11,6.5,175,470,1650,20,3.5,102,101,807,25,,
6,Denver Broncos,16,378,5216,1042,5.0,29,13,319,306,549,3538,22,16,6.0,184,455,1678,17,3.7,94,104,910,41,,
7,San Francisco 49ers,16,374,6082,1118,5.4,29,9,346,353,582,4096,21,20,6.7,213,510,1986,16,3.9,114,95,691,19,,
8,New York Giants,16,371,5378,1076,5.0,32,10,324,260,472,3133,22,22,6.0,171,558,2245,18,4.0,127,96,738,26,,
9,Washington Redskins,16,368,5601,1044,5.4,32,10,312,276,542,3869,22,22,6.8,177,474,1732,23,3.7,112,94,860,23,,
10,Seattle Seahawks,16,366,5409,1005,5.4,27,13,291,268,453,3109,24,14,6.3,158,513,2300,15,4.5,123,98,813,10,,
11,New York Jets,16,364,5375,1072,5.0,37,16,319,334,537,3646,27,21,6.3,191,490,1729,16,3.5,104,131,981,24,,
12,Kansas City Chiefs,16,358,4218,1003,4.2,35,17,264,257,521,2750,23,18,4.8,152,432,1468,10,3.4,83,97,829,29,,
13,Chicago Bears,16,352,5459,1045,5.2,47,22,305,208,415,2759,12,25,6.3,118,606,2700,21,4.5,166,98,765,21,,
14,Dallas Cowboys,16,346,5474,1054,5.2,41,17,325,319,547,3505,21,24,5.8,199,447,1969,21,4.4,98,112,936,28,,
15,San Diego Chargers,16,335,5356,1107,4.8,49,16,334,339,604,3780,21,33,5.9,212,471,1576,19,3.3,98,119,977,24,,
16,Los Angeles Raiders,16,323,5299,1069,5.0,49,24,302,281,530,3509,27,25,5.9,186,475,1790,6,3.8,97,114,951,19,,
17,Los Angeles Rams,16,309,4653,1008,4.6,37,22,269,194,403,2196,15,15,5.1,105,578,2457,16,4.3,139,84,603,25,,
18,Pittsburgh Steelers,16,307,4811,1075,4.5,36,16,292,238,491,2588,16,20,5.1,140,564,2223,18,3.9,125,104,853,27,,
19,New Orleans Saints,16,288,4742,957,5.0,43,18,275,232,425,2668,13,25,5.9,137,505,2074,15,4.1,109,109,855,29,,
20,Buffalo Bills,16,287,5017,963,5.2,39,20,291,294,499,3363,22,19,6.2,152,419,1654,9,3.9,101,121,878,38,,
21,Atlanta Falcons,16,280,5106,1086,4.7,33,16,305,246,452,2582,14,17,5.1,137,578,2524,12,4.4,149,99,763,19,,
22,Detroit Lions,16,277,4555,1009,4.5,37,17,287,286,500,2784,18,20,5.2,156,470,1771,13,3.8,100,84,658,31,,
23,Houston Oilers,16,274,5149,1089,4.7,43,12,299,288,551,3449,14,31,5.8,179,490,1700,13,3.5,101,121,1018,19,,
24,Philadelphia Eagles,16,256,4542,1117,4.1,27,10,287,268,514,2540,19,17,4.1,150,499,2002,8,4.0,113,102,901,24,,
25,Green Bay Packers,16,254,5061,1026,4.9,45,18,286,305,565,3447,18,27,5.7,172,424,1614,8,3.8,96,128,949,18,,
26,Tampa Bay Buccaneers,16,239,4361,970,4.5,42,17,273,245,459,2498,13,25,4.9,142,455,1863,12,4.1,100,83,661,31,,
27,Indianapolis Colts,16,229,4700,1046,4.5,44,20,278,300,586,3209,16,24,5.0,173,407,1491,10,3.7,77,99,880,28,,
28,St. Louis Cardinals,16,218,4503,994,4.5,29,10,273,293,516,2716,17,19,4.7,149,419,1787,8,4.3,102,116,932,22,,
,Avg Team,,328.3,5187.6,1042.0,5.0,36.1,15.4,303.3,286.2,516.8,3288.6,20.9,20.8,5.9,169.6,482.5,1899.0,14.3,3.9,108.5,,,25.1,,
,League Total,,9193,145253,29176,5.0,1012,431,8492,8014,14469,92081,586,581,5.9,4749,13509,53172,401,3.9,3039,2875,23227,704,,
,Avg Tm/G,,20.5,324.2,65.1,5.0,2.3,1.0,19.0,17.9,32.3,205.5,1.3,1.3,5.9,10.6,30.2,118.7,0.9,3.9,6.8,,,1.6,,