Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Buffalo Bills,9,319,1371,9,62,4.3,152.3,23
2,New England Patriots,9,324,1347,3,54,4.2,149.7,16
3,Miami Dolphins,9,333,1344,11,33,4.0,149.3,15
4,New York Jets,9,304,1317,13,48,4.3,146.3,18
5,Dallas Cowboys,9,296,1313,10,99,4.4,145.9,29
6,New Orleans Saints,9,331,1257,8,38,3.8,139.7,17
7,St. Louis Cardinals,9,307,1209,10,64,3.9,134.3,17
8,Pittsburgh Steelers,9,289,1187,7,34,4.1,131.9,18
9,Atlanta Falcons,9,310,1181,12,37,3.8,131.2,14
10,Washington Redskins,9,315,1140,5,40,3.6,126.7,15
11,San Diego Chargers,9,267,1121,15,48,4.2,124.6,17
12,Green Bay Packers,9,283,1081,12,83,3.8,120.1,20
13,Los Angeles Raiders,9,292,1080,15,53,3.7,120.0,22
14,Baltimore Colts,9,293,1044,4,32,3.6,116.0,24
15,Los Angeles Rams,9,251,1025,13,54,4.1,113.9,23
16,Detroit Lions,9,283,1022,5,29,3.6,113.6,23
17,Denver Broncos,9,257,1018,6,23,4.0,113.1,24
18,Chicago Bears,9,276,988,5,26,3.6,109.8,16
19,Tampa Bay Buccaneers,9,268,952,6,47,3.6,105.8,28
20,Cincinnati Bengals,9,269,949,13,21,3.5,105.4,12
21,Kansas City Chiefs,9,269,943,3,36,3.5,104.8,13
22,Minnesota Vikings,9,245,912,6,30,3.7,101.3,12
23,Cleveland Browns,9,256,873,7,18,3.4,97.0,15
24,New York Giants,9,244,842,7,23,3.5,93.6,19
25,Philadelphia Eagles,9,211,829,11,90,3.9,92.1,26
26,Houston Oilers,9,225,799,5,24,3.6,88.8,14
27,Seattle Seahawks,9,227,795,4,46,3.5,88.3,21
28,San Francisco 49ers,9,219,740,6,21,3.4,82.2,17
,Avg Team,,277.3,1060.0,8.3,43,3.8,117.8,18.9
,League Total,,7763,29679,231,99,3.8,117.8,528
,Avg Tm/G,,30.8,117.8,0.9,,3.8,117.8,2.1